arg1,arg2,relation,connective,type,original_utt,original_utt_prev
"i heard they're going to let johnson do it, ",he's the only veteran.,contingency,because,mid,"i heard they're going to let johnson do it, because he's the only veteran.",Who do you think the opening day starter should be?
it's crazy how we swept the cubs ,we are losing to the astros.,comparison,but,mid,it's crazy how we swept the cubs but we are losing to the astros.,I'm watching Yankees vs Astros now.
i miss the old dynasty ,i think we are going to do great with the new home grown!,comparison,but,mid,me too. i miss the old dynasty but i think we are going to do great with the new home grown!,Thats so funny. I'm really looking forward to seeing all the new young players.
"i think the nationals might make it to the world series, ",i don't know that they win it.,comparison,but,mid,"i think the nationals might make it to the world series, but i don't know that they win it.",And baseball teams don't really repeat championships very often.
"it could be the dodgers, ",it's kind of the same thing with them too.,comparison,but,mid,"it could be the dodgers, but it's kind of the same thing with them too.",It's so early in the season that it doesn't matter what the Nationals are doing right now. They always fall short.
"or the giants, ",i don't think we'll have to worry about them.,comparison,but,mid,"or the giants, but i don't think we'll have to worry about them.",I just hope it isn't the Cardinals again.
"the yankees play well at home, ",who knows how it'll play out over the course of a season.,comparison,but,mid,"the yankees play well at home, but who knows how it'll play out over the course of a season.",Yankees or Red Sox like usual.
"i hate to say it, ",the yankees made really good moves-not just throwing money around.,comparison,but,mid,"i hate to say it, but the yankees made really good moves-not just throwing money around.","Yeah, but they could easily slide back and have an uphill climb just to play catch up."
"it's not murderer's row, ",you're right.,comparison,but,mid,"it's not murderer's row, but you're right. they traded chapman then re-signed him, now they have the prospects and chapman back","They did get younger really quick. Their prospects like Bird, Judge, and Sanchez have really flourished."
"tough to say, ","bogaerts, betts, benitendi are a solid counter.",comparison,but,mid,"tough to say, but bogaerts, betts, benitendi are a solid counter.",Who has a better young core? The Yankees or Red Sox?
"i feel bad for him, too, ",just dreaded each time i saw him warming up in the bullpen.,comparison,but,mid,"i feel bad for him, too, but just dreaded each time i saw him warming up in the bullpen.","He sure has lost it, hasn't he? Same as K-Rod, it seems."
"yeah, he did.",it doesn't seem like his control has been there like it has been in the past.,comparison,but,begin,"yeah, he did. but it doesn't seem like his control has been there like it has been in the past.",I know. I heard he reached a hundred a few games ago.
"it's in the afternoon, ",it should be a great game for the kids too.,contingency,so,mid,"saturday. it's in the afternoon, so it should be a great game for the kids too.","Oh, really? What day?"
"my wife, not so much, ",you know how it is.,comparison,but,mid,"yeah, the kids are really excited. my wife, not so much, but you know how it is.",That sounds like a fun family day.
