arg1,arg2,relation,connective,type,original_utt,original_utt_prev
yeah it was ,that doesn't mean it wasn't awesome.,comparison,but,mid,yeah it was but that doesn't mean it wasn't awesome.,Was a little unrealistic at times.
"oh yeah, ",whats it about?,contingency,so,mid,"oh yeah, so whats it about?",Well it is a must see.
"it is, for sure.",", the boy is so in love with his dog that he has to do something in the end of the movie that will break your heart.",expansion,in fact,begin,"it is, for sure.  in fact, the boy is so in love with his dog that he has to do something in the end of the movie that will break your heart.",This is sounding great.
no i don't want to see too much ,i actually pay to see it.,temporal,before,mid,no i don't want to see too much before i actually pay to see it.,No have you?
"i mean, we read the reviews and they weren't good ",we weren't expecting much.,contingency,so,mid,"i thought it was pretty good. i mean, we read the reviews and they weren't good so we weren't expecting much.","Really, how was it?"
i mean there were some jump scares ,that was really the only slightly annoying thing about it.,comparison,but,mid,i don't know. i mean there were some jump scares but that was really the only slightly annoying thing about it.,I wonder why it got poor reviews then.
"I know what you mean, I just didn't know what they were called.","i mean aside from that, i thought the filming was great, and the actors did a good job considering they weren't anybody i had ever seen before.",comparison,but,begin,"but i mean aside from that, i thought the filming was great, and the actors did a good job considering they weren't anybody i had ever seen before.","Oh, I gotcha. I know what you mean, I just didn't know what they were called."
"but i mean aside from that, i thought the filming was great, ",the actors did a good job considering they weren't anybody i had ever seen before.,expansion,and,mid,"but i mean aside from that, i thought the filming was great, and the actors did a good job considering they weren't anybody i had ever seen before.","Oh, I gotcha. I know what you mean, I just didn't know what they were called."
"well it's a horror, and the whole idea is that saying the name ""the bye bye man"" alerts him to you (which you don't want) ",that the more you try not to think of it the more you do think of it.,expansion,and,mid,"well it's a horror, and the whole idea is that saying the name ""the bye bye man"" alerts him to you (which you don't want) and that the more you try not to think of it the more you do think of it.",True. So what's it about?
"but more than that, it was that it didn't rely so much on gore ","jump scares, it was more suspenseful and intriguing and psychological.",expansion,and,mid,"but more than that, it was that it didn't rely so much on gore and jump scares, it was more suspenseful and intriguing and psychological. i would've been alright if the whole movie had been like that.",It was in the past after all.
"oh, where you think the whole problem is done with ",some remnant shows up at the end that just screams for a sequel?,comparison,but,mid,"oh, where you think the whole problem is done with but some remnant shows up at the end that just screams for a sequel?",I'd definitely recommend it. It has a slightly predictable ending though.
"i don't know that it is his latest, ",i saw london has fallen recently.,comparison,but,mid,"i don't know that it is his latest, but i saw london has fallen recently.",What is his latest? I am not even sure.
"i do, ",i think the plot of this one is truly unique in the genre.,comparison,but,mid,"i do, but i think the plot of this one is truly unique in the genre.","Of course, you like romantic comedies."
i don't either ,both dudes changed their minds.,comparison,but,mid,i don't either but both dudes changed their minds.,I don't blame him for not wanting one.
"me too, ",you have to have had a favorite!,comparison,but,mid,"me too, but you have to have had a favorite!","Oh gosh, that's a really tough decision.  I liked all of them."
"it didn't really scare me, ",i thought carrie was scary.,comparison,but,mid,"it didn't really scare me, but i thought carrie was scary.",Why not?
i didn't think carrie was scary ,pet semetary spooked me out.,comparison,but,mid,see i'm the opposite.  i didn't think carrie was scary but pet semetary spooked me out.,"It didn't really scare me, but I thought Carrie was scary."
i was basically just like the cartoon version we knew as kids ,with real people.,comparison,but,mid,yea it was a good movie. i was basically just like the cartoon version we knew as kids but with real people.,Did you like it?
"not in theaters, ",i just watched a really good horror movie on hulu last night.,comparison,but,mid,"not in theaters, but i just watched a really good horror movie on hulu last night.",Have you seen anything good lately.
it's about this girl who gets kidnapped.,the world has been invaded by aliens.,comparison,but,begin,it's about this girl who gets kidnapped. but the world has been invaded by aliens.,What's it about?
"it is, ",in a good way.,comparison,but,mid,"it is, but in a good way. i think you'd lilke it.",Is it bizarre?
probably he's best known for playing spiderman.,he's been in a lot of other stuff too.,comparison,but,begin,probably he's best known for playing spiderman. but he's been in a lot of other stuff too.,That name sounds familiar. What's he been in again?
"i have that reaction too, ",a movie is so much more than a director.,comparison,but,mid,"i have that reaction too, but a movie is so much more than a director.",Ugh. Now I'm not sure I want to watch.
"i mean, if it was a book or something i wouldn't touch it.",i think movies are different because they're collaborative.,comparison,but,begin,"i mean, if it was a book or something i wouldn't touch it. but i think movies are different because they're collaborative.",That's true.
but i think movies are different ,they're collaborative.,contingency,because,mid,"i mean, if it was a book or something i wouldn't touch it. but i think movies are different because they're collaborative.",That's true.
"he was, ",he wasn't the director.,comparison,but,mid,"he was, but he wasn't the director.  iron man 3 was just way too long for me and i thought the ending was cheesy.",I thought Jon Favreau was in Iron Man 3.
"that's a shame, i really like her.","at least robert downey jr. and jon favreau are in spiderman, right?",comparison,but,begin,"that's a shame, i really like her.  but at least robert downey jr. and jon favreau are in spiderman, right?","No, Gwenyth Paltrow's contract ended so her character is ""taking a break"" from Iron Man."
"ah, cool, ",what's it about?,contingency,so,mid,"ah, cool, so what's it about?","No, its actually set before the first film"
i didn't see it ,it just looks corny.,comparison,but,mid,"yeah, that blade was corny. i didn't see it but it just looks corny.",And Wesley did maybe Blade and then virtually fell off the map.
she was good ,has not gone on to do much.,comparison,but,mid,stephi lineburg was the actress. she was good but has not gone on to do much.,I remember a feisty girl character in it.
"well i have seen the first one about 1000 times, ",i haven't seen the second one.,comparison,but,mid,"well i have seen the first one about 1000 times, but i haven't seen the second one.","Actually, I just saw Cars 3 the other day. Have you seen the other Cars movies?"
"well, it is a familiar story, ",it is very good.,comparison,but,mid,"well, it is a familiar story, but it is very good.",This sound like a story I have heard a lot-just with people instead of cars.
"well everyone wants him to retire, ",he decides to give it one last go.,comparison,but,mid,"well everyone wants him to retire, but he decides to give it one last go. the deal is he has to win his first race of the season or retire.",How does it end up?
"he is such a flashy and arrogant car at the beginning of the first movie, ",i like how he changes.,comparison,but,mid,"i like him as well. he is such a flashy and arrogant car at the beginning of the first movie, but i like how he changes.",I like him too. My son is obsessed with Lightning McQueen though.
"i saw it, ",i didn't care for it a whole lot.,comparison,but,mid,"i saw it, but i didn't care for it a whole lot.",Did you ever see Cloudy with a Chance of Meatballs?
"you're right, i often like animated movies, ",that one was weird.,comparison,but,mid,"you're right, i often like animated movies, but that one was weird. i did like the second one much better.","Oh, I thought you liked animated movies, that's why I asked."
"i know, ",it had more heart to it in the second movie.,comparison,but,mid,"i know, but it had more heart to it in the second movie. plus, i saw it in 3d.",And you thought the first one was weird?
"it made it more interesting, ",the story was better too.,comparison,but,mid,"not really. it made it more interesting, but the story was better too.","Oh, you saw it in 3D? That must be what did it."
"yeah, and someone complains that they can't hear her ",she gets loud and scares the entire congregation.,contingency,so,mid,"yeah, and someone complains that they can't hear her so she gets loud and scares the entire congregation.",Or that lady in church who starts her speech off quietly...
"ha yes, ","really, if you had to pick, what would be your favorite scene?",comparison,but,mid,"ha yes, but really, if you had to pick, what would be your favorite scene?","Yeah, and someone complains that they can't hear her so she gets loud and scares the entire congregation."
"when it comes to that scene, yes, i'm 5, ",it's hilarious.,contingency,because,mid,"when it comes to that scene, yes, i'm 5, because it's hilarious.",Are you 5?
i'm sure a lot of movies ,which one do you mean?,comparison,but,mid,i'm sure a lot of movies but which one do you mean?,You know what movie was really sad?
"yeah, and the bikers had to ride to the set everyday in their costumes, ","with their prop weapons, and they were given a letter from the director explaining things if they were stopped by the cops.",expansion,and,mid,"yeah, and the bikers had to ride to the set everyday in their costumes, and with their prop weapons, and they were given a letter from the director explaining things if they were stopped by the cops.",That's hilarious.
"yeah, and the bikers had to ride to the set everyday in their costumes, and with their prop weapons, ",they were given a letter from the director explaining things if they were stopped by the cops.,expansion,and,mid,"yeah, and the bikers had to ride to the set everyday in their costumes, and with their prop weapons, and they were given a letter from the director explaining things if they were stopped by the cops.",That's hilarious.
the cheap fabric would frequently rip out ,you can see lots of knees or repaired knees.,contingency,so,mid,"if you rewatch it, look at their knees. the cheap fabric would frequently rip out so you can see lots of knees or repaired knees.",I never noticed that.
i have heard of fusion  cooking ,that is just as about as dumb attack of the killer tomatoes.,comparison,but,mid,i have heard of fusion  cooking but that is just as about as dumb attack of the killer tomatoes.,Why would any body make something so stupid!
i remember seeing the cover of that movie when i worked at a video store ,i never bothered to read it because it looked so bad.,comparison,but,mid,i remember seeing the cover of that movie when i worked at a video store but i never bothered to read it because it looked so bad.,Yes I did. 1958  an alien turns a woman into a giantess.
i remember seeing the cover of that movie when i worked at a video store but i never bothered to read it ,it looked so bad.,contingency,because,mid,i remember seeing the cover of that movie when i worked at a video store but i never bothered to read it because it looked so bad.,Yes I did. 1958  an alien turns a woman into a giantess.
Make a list of cult science fiction classics and watch them.,there are cult classics in that genre that are really good and some that aren't.,comparison,but,begin,but there are cult classics in that genre that are really good and some that aren't.,No. Make a list of cult science fiction classics and watch them.
i remember seeing the trailer for that one ,"it was released, and i was so underwhelmed.",temporal,before,mid,"i remember seeing the trailer for that one before it was released, and i was so underwhelmed. i had no desire to see it.",What about more modern sci fi? How about Guardians of the Galaxy?
"yes, my husband wanted to see it, ","i was like, ohhh kaaay, i'll give it 15 minutes, then i'm outta there.",contingency,so,mid,"yes, my husband wanted to see it, so i was like, ohhh kaaay, i'll give it 15 minutes, then i'm outta there.",Did you change your mind?
"yeah, that would be too easy.",it's only movies.,contingency,so,begin,"yeah, that would be too easy. so it's only movies.","Darn, I'd say Firefly, then Buffy the Vampire Slayer."
"bloated, i will grant, ",that's how it is these days.,comparison,but,mid,"bloated, i will grant, but that's how it is these days. every movie needs to be 3 hours for some reason.","See, for me it was kind of bloated and overly scattered."
i am not gonna lie ,im one of those people,comparison,but,mid,i am not gonna lie but im one of those people,a lot of people were introduced to johnny because of the movies
i'm just playing with you ,yeah they did a pretty good job the storyline,comparison,but,mid,i'm just playing with you but yeah they did a pretty good job the storyline,Yeah  Tupac is dead
"some people disparaged him, saying he couldn't act, ",i don't agree at all.,comparison,but,mid,"some people disparaged him, saying he couldn't act, but i don't agree at all.","He was a classic movie star, I think."
"i think the win for true grit was a win for his entire filmography at that point, ",it was still well deserved.,comparison,but,mid,"yes. i think the win for true grit was a win for his entire filmography at that point, but it was still well deserved.","He had been nominated before, right?"
