arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i don't recall ,it was a documentary,comparison,but,mid,i don't recall but it was a documentary,What other movies where released around that time?
well documentaries don't ,there subject matter does.,comparison,but,mid,well documentaries don't but there subject matter does.,Not even though they impact you on your everyday life.
"yeah it is a real romantic, ",also an epic.,comparison,but,mid,"yeah it is a real romantic, but also an epic. like avatar, did you dig that one?","You know, I have never! Is it a good Cameron movie?"
"i also thought it was really cute, ",had some more serious parts to it.,comparison,but,mid,"i also thought it was really cute, but had some more serious parts to it.",And what did you think?
"and kind of weird, ",ultimately really touching.,comparison,but,mid,"and kind of weird, but ultimately really touching.",That's interesting.
"there were some parts that were similar, ",it had a lot of original moments.,comparison,but,mid,"there were some parts that were similar, but it had a lot of original moments.",Was it just a rehash of the first film?
that would be a spoiler!,it has a happy ending.,comparison,but,begin,that would be a spoiler! but it has a happy ending.,Does she find them?
no i havent ,i really want to see it!,comparison,but,mid,no i havent but i really want to see it!,Have you seen the new power rangers movie?
"i do, ",only the first and second.,comparison,but,mid,"i do, but only the first and second. they were too complicated after that.",Do you like any of the Harry Potter movies?
"i know she's in it, ",i don't think it would be of interest to me.,comparison,but,mid,"not yet. i know she's in it, but i don't think it would be of interest to me.","I liked them all. The first and second were great though. Have you seen Emma Watson in ""Beauty and the Beast""?"
"i've only seen the newer version, ",it is seriously so good.,comparison,but,mid,"i've only seen the newer version, but it is seriously so good.","I have! I have seen them both, the older version and the newer version."
"i was nervous that he would hurt the children, ",thankfully he didn't.,comparison,but,mid,"that was crazy. i was nervous that he would hurt the children, but thankfully he didn't.",Can you believe the killer was in the house the entire time and the babysitter had no idea?
"she was, ",she stayed inside the house too long.,comparison,but,mid,"she was, but she stayed inside the house too long. she should've run out as soon as she knew the killer was there.",Yes! Same here! That part was scary. The babysitter was smart to hide underwater.
i just think it was harder for her ,she had to make sure the kids were okay first.,contingency,because,mid,agreed. i just think it was harder for her because she had to make sure the kids were okay first.,"She was, but she stayed inside the house too long. She should've run out as soon as she knew the killer was there."
"i read that ally sheedy was having trouble playing her part at first, ",got really into it as the filming went on.,comparison,but,mid,"i read that ally sheedy was having trouble playing her part at first, but got really into it as the filming went on.","That was a classic. Judd Nelson was hysterical, and Ally Sheedy really did a great job on her character."
"i haven't seen either one, ",you didn't like either film?,contingency,so,mid,"i haven't seen either one, so you didn't like either film?",It sure wasn't moonlight OR la la land.
it was ok ,it didn't have harry in it.,comparison,but,mid,it was ok but it didn't have harry in it.,Was it good?
there will be more movies made ,probably without harry.,comparison,but,mid,i agree. there will be more movies made but probably without harry.,So do I. The other stuff is less good.
i hope so ,there aren't any more books other than that cursed child thing.,comparison,but,mid,i hope so but there aren't any more books other than that cursed child thing.,I wonder if there will be any more movies with Harry ever.
"did you know the song ""let it go"" was written ",they ever made the movie?,temporal,before,mid,"did you know the song ""let it go"" was written before they ever made the movie?","He is funny, mine is Anna.  Whoever does the voice can sing."
"i guess, ",i prefer gamora.,comparison,but,mid,"i guess, but i prefer gamora. zoe saldana kicks butt.","True, but the action sequences were better in number two and you got to learn more about Nebula."
"i know, right.",the clues were all in the first one.,comparison,but,begin,"i know, right. but the clues were all in the first one. we knew his father had to be an alien.",Can you believe what they did with Chris Pratt's character?
"tough call, ","yes, i think so.",comparison,but,mid,"tough call, but yes, i think so.",Better than The Winter Soldier?
