arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
i don't recall ,it was a documentary,comparison,but,mid,i don't recall but it was a documentary,What other movies where released around that time?,Reject,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('MusicRecording', 209.0098375, 'Tron Was a Documentary')]",['business'],['entertainment'],['Games'],['Celebrities'],None,None,[],[],[],[],None,None,[],"[{'name': 'was a documentary', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'was a documentary', 'alias': ['was a documentary'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb220006ba8>}, 'gkg': 'kg:/m/010v1jlx', 'granular_actor_types': {}, 'granular_entity_types': {'song by citranomicon': 1}, 'gkg_name': 'Tron Was a Documentary', 'gkg_type': ['MusicRecording']}]",,Tron Was a Documentary,,,[],"[('MusicRecording', 209.0098375, 'Tron Was a Documentary')]",True,True
well documentaries don't ,there subject matter does.,comparison,but,mid,well documentaries don't but there subject matter does.,Not even though they impact you on your everyday life.,Statement,Accept,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],"[('Event', 303.879882, 'Subject Matter')]",['sport'],['sport'],['Movies_TV'],['SciTech'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['documentary'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21ffd93c8>}, 'gkg': None, 'granular_actor_types': {'product': 0.36, 'object': 0.08}, 'granular_entity_types': {}}, {'name': 'was a documentary', 'id': 340, 'status': None, 'engaged': [], 'lexeme': 'was a documentary', 'alias': ['was a documentary'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb220006ba8>}, 'gkg': 'kg:/m/010v1jlx', 'granular_actor_types': {}, 'granular_entity_types': {'song by citranomicon': 1}, 'gkg_name': 'Tron Was a Documentary', 'gkg_type': ['MusicRecording']}]","[{'name': 'subject matter', 'id': 342, 'status': None, 'engaged': [], 'lexeme': 'subject matter', 'alias': ['subject matter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e01df28>}, 'gkg': 'kg:/g/11fjvwsqfm', 'granular_actor_types': {'communication': 0.375}, 'granular_entity_types': {'event': 1}, 'gkg_name': 'Subject Matter', 'gkg_type': ['Event']}, {'name': None, 'id': 341, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['documentary'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21ffd93c8>}, 'gkg': None, 'granular_actor_types': {'product': 0.36, 'object': 0.08}, 'granular_entity_types': {}}]",,Subject Matter,,,[],"[('Event', 303.879882, 'Subject Matter')]",True,True
"yeah it is a real romantic, ",also an epic.,comparison,but,mid,"yeah it is a real romantic, but also an epic. like avatar, did you dig that one?","You know, I have never! Is it a good Cameron movie?",Accept,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],"[('Thing', 159.058927125, 'An Epic Story')]",['sport'],['entertainment'],['Phatic'],['Literature'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a real romantic'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb220091128>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'subject matter', 'id': 342, 'status': None, 'engaged': [], 'lexeme': 'subject matter', 'alias': ['subject matter'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e01df28>}, 'gkg': 'kg:/g/11fjvwsqfm', 'granular_actor_types': {'communication': 0.375}, 'granular_entity_types': {'event': 1}, 'gkg_name': 'Subject Matter', 'gkg_type': ['Event']}]","[{'name': 'an epic', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'an epic', 'alias': ['an epic'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df9def0>}, 'gkg': 'kg:/g/11c76yrlbq', 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {'song by peter perrett': 1}, 'gkg_name': 'An Epic Story', 'gkg_type': ['Thing']}, {'name': None, 'id': 343, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a real romantic'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb220091128>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,An Epic Story,a real romantic,,[],"[('Thing', 159.058927125, 'An Epic Story')]",True,True
"i also thought it was really cute, ",had some more serious parts to it.,comparison,but,mid,"i also thought it was really cute, but had some more serious parts to it.",And what did you think?,nAnswer,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['business'],['Psychology'],['SciTech'],None,None,[],[],[],[],None,None,"[{'name': 'an epic', 'id': 344, 'status': None, 'engaged': [], 'lexeme': 'an epic', 'alias': ['an epic'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df9def0>}, 'gkg': 'kg:/g/11c76yrlbq', 'granular_actor_types': {'communication': 0.16666666666666666}, 'granular_entity_types': {'song by peter perrett': 1}, 'gkg_name': 'An Epic Story', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['part'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfa7978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,,part,[],[],True,True
"and kind of weird, ",ultimately really touching.,comparison,but,mid,"and kind of weird, but ultimately really touching.",That's interesting.,nAnswer,Reject,None,None,"('Neutral', 1.0)","('Positive', 1.0)","[('Book', 570.528, 'kind of')]",[],['business'],['sport'],['SciTech'],['SciTech'],None,None,[],[],[],[],None,None,"[{'name': 'kind of', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'kind of', 'alias': ['kind of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc1860>}, 'gkg': 'kg:/m/0n27f', 'granular_actor_types': {}, 'granular_entity_types': {'book by stephen wolfram': 1}, 'gkg_name': 'kind of', 'gkg_type': ['Book']}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['part'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfa7978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'kind of', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'kind of', 'alias': ['kind of'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc1860>}, 'gkg': 'kg:/m/0n27f', 'granular_actor_types': {}, 'granular_entity_types': {'book by stephen wolfram': 1}, 'gkg_name': 'kind of', 'gkg_type': ['Book']}]",kind of,,,,"[('Book', 570.528, 'kind of')]",[],True,True
"there were some parts that were similar, ",it had a lot of original moments.,comparison,but,mid,"there were some parts that were similar, but it had a lot of original moments.",Was it just a rehash of the first film?,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('LocalBusiness', 402.765125, 'Save-A-Lot')]",['business'],['entertainment'],['Travel_Geo'],['Psychology'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some parts'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb2200910b8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['moment'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e00b780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e00bd30>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': None, 'id': 347, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['some parts'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb2200910b8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Save-A-Lot,some parts,moment,[],"[('LocalBusiness', 402.765125, 'Save-A-Lot')]",True,True
that would be a spoiler!,it has a happy ending.,comparison,but,begin,that would be a spoiler! but it has a happy ending.,Does she find them?,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('Thing', 533.27175, 'a happy ending')]",['politics'],['sport'],['SciTech'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a spoiler'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df8dba8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 349, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['moment'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e00b780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a lot', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e00bd30>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]","[{'name': 'a happy ending', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'a happy ending', 'alias': ['a happy ending'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfef908>}, 'gkg': 'kg:/g/1s05vvtms', 'granular_actor_types': {}, 'granular_entity_types': {'song by maaya sakamoto': 1}, 'gkg_name': 'a happy ending', 'gkg_type': ['Thing']}, {'name': None, 'id': 350, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a spoiler'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df8dba8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,a happy ending,a spoiler,,[],"[('Thing', 533.27175, 'a happy ending')]",True,True
no i havent ,i really want to see it!,comparison,but,mid,no i havent but i really want to see it!,Have you seen the new power rangers movie?,nAnswer,Emphasis,None,None,"('Negative', 1.0)","('Positive', 1.0)",[],"[('Thing', 544.0505, 'I Don-t Want to See It'), ('Thing', 416.19025, 'see it')]",['entertainment'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'a happy ending', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'a happy ending', 'alias': ['a happy ending'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfef908>}, 'gkg': 'kg:/g/1s05vvtms', 'granular_actor_types': {}, 'granular_entity_types': {'song by maaya sakamoto': 1}, 'gkg_name': 'a happy ending', 'gkg_type': ['Thing']}]","[{'name': 'want to', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'want to', 'alias': ['want to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc15c0>}, 'gkg': 'kg:/g/11b6zwpps8', 'granular_actor_types': {}, 'granular_entity_types': {'song by aquilo': 1}, 'gkg_name': 'I Don-t Want to See It', 'gkg_type': ['Thing']}, {'name': 'see', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'see', 'alias': ['see'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc1a58>}, 'gkg': 'kg:/g/11c0pqm7dn', 'granular_actor_types': {'region': 0.3333333333333333, 'location': 0.26666666666666666, 'object': 0.13333333333333333}, 'granular_entity_types': {'song by belle and sebastian': 1}, 'gkg_name': 'see it', 'gkg_type': ['Thing']}]",,"see it, I Don-t Want to See It",,,[],"[('Thing', 544.0505, 'I Don-t Want to See It'), ('Thing', 416.19025, 'see it')]",True,True
"i do, ",only the first and second.,comparison,but,mid,"i do, but only the first and second. they were too complicated after that.",Do you like any of the Harry Potter movies?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Movie', 636.9105000000001, 'I Do')]",[],['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'i do', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'i do', 'alias': ['i do'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df7d2b0>}, 'gkg': 'kg:/m/0279pk8', 'granular_actor_types': {}, 'granular_entity_types': {'2006 film': 1}, 'gkg_name': 'I Do', 'gkg_type': ['Movie']}, {'name': 'want to', 'id': 352, 'status': None, 'engaged': [], 'lexeme': 'want to', 'alias': ['want to'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc15c0>}, 'gkg': 'kg:/g/11b6zwpps8', 'granular_actor_types': {}, 'granular_entity_types': {'song by aquilo': 1}, 'gkg_name': 'I Don-t Want to See It', 'gkg_type': ['Thing']}, {'name': 'see', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'see', 'alias': ['see'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21dfc1a58>}, 'gkg': 'kg:/g/11c0pqm7dn', 'granular_actor_types': {'region': 0.3333333333333333, 'location': 0.26666666666666666, 'object': 0.13333333333333333}, 'granular_entity_types': {'song by belle and sebastian': 1}, 'gkg_name': 'see it', 'gkg_type': ['Thing']}]","[{'name': 'i do', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'i do', 'alias': ['i do'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df7d2b0>}, 'gkg': 'kg:/m/0279pk8', 'granular_actor_types': {}, 'granular_entity_types': {'2006 film': 1}, 'gkg_name': 'I Do', 'gkg_type': ['Movie']}]",I Do,,,,"[('Movie', 636.9105000000001, 'I Do')]",[],True,True
"i know she's in it, ",i don't think it would be of interest to me.,comparison,but,mid,"not yet. i know she's in it, but i don't think it would be of interest to me.","I liked them all. The first and second were great though. Have you seen Emma Watson in ""Beauty and the Beast""?",Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 154.6087875, 'i know she in it')]","[('TVSeries', 409.493084, 'Person of Interest')]",['sport'],['sport'],['Other'],['Other'],None,None,[],[],[],['long_parse_time'],None,None,"[{'name': 'in', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'in', 'alias': ['in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df68fd0>}, 'gkg': 'kg:/g/1s05qq9tm', 'granular_actor_types': {}, 'granular_entity_types': {'song by shawn phillips': 1}, 'gkg_name': 'i know she in it', 'gkg_type': ['Thing']}]","[{'name': 'of interest', 'id': 356, 'status': None, 'engaged': [], 'lexeme': 'of interest', 'alias': ['of interest'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21e049390>}, 'gkg': 'kg:/m/0gtwsq1', 'granular_actor_types': {}, 'granular_entity_types': {'american drama series': 1}, 'gkg_name': 'Person of Interest', 'gkg_type': ['TVSeries']}, {'name': 'in', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'in', 'alias': ['in'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7fb21df68fd0>}, 'gkg': 'kg:/g/1s05qq9tm', 'granular_actor_types': {}, 'granular_entity_types': {'song by shawn phillips': 1}, 'gkg_name': 'i know she in it', 'gkg_type': ['Thing']}]",i know she in it,Person of Interest,,,"[('Thing', 154.6087875, 'i know she in it')]","[('TVSeries', 409.493084, 'Person of Interest')]",True,True
