arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
this is true ,the spurs have won in an era that has one and done mega stars.,comparison,but,mid,this is true but the spurs have won in an era that has one and done mega stars.,True but the Celtics just won year after year.,Accept,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)",[],[],['entertainment'],['sport'],['Phatic'],['Sports'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2286, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['tomorrow'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f467828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 3385, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['an era'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060779588>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 3386, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['star'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e7a82b0>}, 'gkg': None, 'granular_actor_types': {'object': 0.2}, 'granular_entity_types': {}}]",,,,"an era, star",[],[],True,True
"yeah you're right, ",i still think they will beat them.,comparison,but,mid,"yeah you're right, but i still think they will beat them.",We'll see what Lebron has to say about that.,Accept,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Music'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 3385, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['an era'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060779588>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 3386, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['star'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e7a82b0>}, 'gkg': None, 'granular_actor_types': {'object': 0.2}, 'granular_entity_types': {}}]",[],,,,,[],[],True,True
yeah i could see that ,i think you are only saying that since you are a chicago fan.,comparison,but,mid,yeah i could see that but i think you are only saying that since you are a chicago fan.,"Well, I don't know about that.  The bucks seem fake to me.",Statement,Clarify,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],[],['sport'],['sport'],['Phatic'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'yeah i', 'id': 1395, 'status': None, 'engaged': [], 'lexeme': 'yeah i', 'alias': ['yeah i', 'that'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80602fea90>}, 'gkg': 'kg:/m/010jzm_j', 'granular_actor_types': {}, 'granular_entity_types': {'song by mount analogue': 1}, 'gkg_name': 'Yeah I', 'gkg_type': ['MusicRecording']}]","[{'name': None, 'id': 3387, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a chicago fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e6c4be0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'yeah i', 'id': 1395, 'status': None, 'engaged': [], 'lexeme': 'yeah i', 'alias': ['yeah i', 'that'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80602fea90>}, 'gkg': 'kg:/m/010jzm_j', 'granular_actor_types': {}, 'granular_entity_types': {'song by mount analogue': 1}, 'gkg_name': 'Yeah I', 'gkg_type': ['MusicRecording']}]",,,,a chicago fan,[],[],True,True
i need to get back in shape ,that's good.,contingency,so,mid,i need to get back in shape so that's good.,I agree. Basketball is good exercise.,Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],"[('Thing', 329.65000000000003, 'That Good')]",['sport'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2651, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shape'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f12d780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 3387, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a chicago fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e6c4be0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'good', 'id': 1521, 'status': None, 'engaged': [], 'lexeme': 'good', 'alias': ['good'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80605a5128>}, 'gkg': 'kg:/g/1s05lhcr8', 'granular_actor_types': {}, 'granular_entity_types': {'song by snoop dogg': 1}, 'gkg_name': 'That Good', 'gkg_type': ['Thing']}, {'name': None, 'id': 2651, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['shape'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f12d780>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,That Good,shape,,[],"[('Thing', 329.65000000000003, 'That Good')]",True,True
i'm so glad there will be a team ,i've missed playing.,contingency,because,mid,i'm so glad there will be a team because i've missed playing.,I hope it does. I want to lose thirty pounds.,Statement,Statement,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('TVSeries', 416.64000000000004, 'The A-Team')]",[],['sport'],['sport'],['Sports'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'a team', 'id': 1278, 'status': None, 'engaged': [], 'lexeme': 'a team', 'alias': ['a team'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80607b3198>}, 'gkg': 'kg:/m/07d3d', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The A-Team', 'gkg_type': ['TVSeries']}, {'name': 'good', 'id': 1521, 'status': None, 'engaged': [], 'lexeme': 'good', 'alias': ['good'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80605a5128>}, 'gkg': 'kg:/g/1s05lhcr8', 'granular_actor_types': {}, 'granular_entity_types': {'song by snoop dogg': 1}, 'gkg_name': 'That Good', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 3388, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['playing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e560cc0>}, 'gkg': None, 'granular_actor_types': {'performance': 0.8571428571428571, 'act': 0.23809523809523808, 'event': 0.19047619047619047}, 'granular_entity_types': {}}, {'name': 'a team', 'id': 1278, 'status': None, 'engaged': [], 'lexeme': 'a team', 'alias': ['a team'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80607b3198>}, 'gkg': 'kg:/m/07d3d', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'The A-Team', 'gkg_type': ['TVSeries']}]",The A-Team,,,playing,"[('TVSeries', 416.64000000000004, 'The A-Team')]",[],True,True
neither have i ,we'll get back in the swing of things soon.,comparison,but,mid,neither have i but we'll get back in the swing of things soon.,I haven't played in a while.,Reject,Continuer,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('VisualArtwork', 714.3989405, 'The Swing'), ('TVSeries', 287.74213465625, 'The Nature of Things')]",['business'],['sport'],['Phatic'],['Music'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 3388, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['playing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e560cc0>}, 'gkg': None, 'granular_actor_types': {'performance': 0.8571428571428571, 'act': 0.23809523809523808, 'event': 0.19047619047619047}, 'granular_entity_types': {}}]","[{'name': 'swing', 'id': 2233, 'status': None, 'engaged': [], 'lexeme': 'swing', 'alias': ['swing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f6099e8>}, 'gkg': 'kg:/g/11b74c6lk0', 'granular_actor_types': {}, 'granular_entity_types': {'song by fear, and loathing in las vegas': 1}, 'gkg_name': 'Swing It!!', 'gkg_type': ['Thing']}, {'name': 'of things', 'id': 3389, 'status': None, 'engaged': [], 'lexeme': 'of things', 'alias': ['of things'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f806108c7f0>}, 'gkg': 'kg:/m/03t5rn', 'granular_actor_types': {}, 'granular_entity_types': {'canadian television series': 1}, 'gkg_name': 'The Nature of Things', 'gkg_type': ['TVSeries']}]",,"The Nature of Things, The Swing",,,[],"[('VisualArtwork', 714.3989405, 'The Swing'), ('TVSeries', 287.74213465625, 'The Nature of Things')]",True,True
"i was okay, ",was in a tiny high school.,comparison,but,mid,"i was okay, but was in a tiny high school.",Were you?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],[],['sport'],['entertainment'],['Other'],['SciTech'],None,None,[],[],[],[],None,None,"[{'name': 'swing', 'id': 2233, 'status': None, 'engaged': [], 'lexeme': 'swing', 'alias': ['swing'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f6099e8>}, 'gkg': 'kg:/g/11b74c6lk0', 'granular_actor_types': {}, 'granular_entity_types': {'song by fear, and loathing in las vegas': 1}, 'gkg_name': 'Swing It!!', 'gkg_type': ['Thing']}, {'name': 'of things', 'id': 3389, 'status': None, 'engaged': [], 'lexeme': 'of things', 'alias': ['of things'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f806108c7f0>}, 'gkg': 'kg:/m/03t5rn', 'granular_actor_types': {}, 'granular_entity_types': {'canadian television series': 1}, 'gkg_name': 'The Nature of Things', 'gkg_type': ['TVSeries']}]","[{'name': 'school', 'id': 861, 'status': None, 'engaged': [], 'lexeme': 'school', 'alias': ['school', 'schools'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060f62a90>}, 'gkg': 'kg:/m/0fr_3z', 'granular_actor_types': {}, 'granular_entity_types': {'private school in simsbury, connecticut': 1}, 'gkg_name': 'Westminster School', 'gkg_type': ['EducationalOrganization', 'Organization', 'Thing', 'School']}]",,,,,[],[],True,True
"it should be interesting, ",i don't expect the wizards to pull off a win.,comparison,but,mid,"it should be interesting, but i don't expect the wizards to pull off a win.",They have to win or at least put up a better fight than last night.,Statement,Reject,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],"[('MusicGroup', 469.518, 'The Wizards')]",['sport'],['sport'],['Phatic'],['Sports'],None,None,[],[],[],[],None,None,"[{'name': 'school', 'id': 861, 'status': None, 'engaged': [], 'lexeme': 'school', 'alias': ['school', 'schools'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8060f62a90>}, 'gkg': 'kg:/m/0fr_3z', 'granular_actor_types': {}, 'granular_entity_types': {'private school in simsbury, connecticut': 1}, 'gkg_name': 'Westminster School', 'gkg_type': ['EducationalOrganization', 'Organization', 'Thing', 'School']}]","[{'name': 'the wizards', 'id': 2768, 'status': None, 'engaged': [], 'lexeme': 'the wizards', 'alias': ['the wizards'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fe16400>}, 'gkg': 'kg:/g/11clwj9j_f', 'granular_actor_types': {'person': 0.18518518518518517}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'The Wizards', 'gkg_type': ['MusicGroup']}]",,The Wizards,,,[],"[('MusicGroup', 469.518, 'The Wizards')]",True,True
"maybe technically as a player, ",i think jordan was a lot more likeable.,comparison,but,mid,"maybe technically as a player, but i think jordan was a lot more likeable.",Do you think LeBron is better than Michael Jordan?,Statement,Statement,None,None,"('Positive', 1.0)","('Positive', 1.0)","[('Thing', 188.358625, 'I-m a Player')]","[('LocalBusiness', 402.765125, 'Save-A-Lot')]",['sport'],['sport'],['Music'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'a player', 'id': 3258, 'status': None, 'engaged': [], 'lexeme': 'a player', 'alias': ['a player'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805eaa2f98>}, 'gkg': 'kg:/g/1q5j47n_c', 'granular_actor_types': {'person': 0.35714285714285715}, 'granular_entity_types': {'song by too short': 1}, 'gkg_name': 'I’m a Player', 'gkg_type': ['Thing']}, {'name': 'the wizards', 'id': 2768, 'status': None, 'engaged': [], 'lexeme': 'the wizards', 'alias': ['the wizards'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805fe16400>}, 'gkg': 'kg:/g/11clwj9j_f', 'granular_actor_types': {'person': 0.18518518518518517}, 'granular_entity_types': {'musical group': 1}, 'gkg_name': 'The Wizards', 'gkg_type': ['MusicGroup']}]","[{'name': 'Jordan', 'id': 2992, 'status': None, 'engaged': [], 'lexeme': 'Jordan', 'alias': ['jordan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e6d3828>}, 'gkg': 'kg:/m/03__y', 'granular_actor_types': {}, 'granular_entity_types': {'country in the middle east': 1}, 'gkg_name': 'Jordan', 'gkg_type': ['Thing', 'Place', 'Country', 'AdministrativeArea']}, {'name': 'a lot', 'id': 375, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061f2bac8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': 'a player', 'id': 3258, 'status': None, 'engaged': [], 'lexeme': 'a player', 'alias': ['a player'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805eaa2f98>}, 'gkg': 'kg:/g/1q5j47n_c', 'granular_actor_types': {'person': 0.35714285714285715}, 'granular_entity_types': {'song by too short': 1}, 'gkg_name': 'I’m a Player', 'gkg_type': ['Thing']}]",I-m a Player,Save-A-Lot,,,"[('Thing', 188.358625, 'I-m a Player')]","[('LocalBusiness', 402.765125, 'Save-A-Lot')]",True,True
"i don't know, i was thinking about it ",it kinda depends if jimmy goes.,comparison,but,mid,"i don't know, i was thinking about it but it kinda depends if jimmy goes.",The Cardinals game!  They're playing the Hawks.,Statement,Other,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Thing', 402.6927175, 'Thinking About It')]",[],['sport'],['sport'],['Psychology'],['Music'],None,None,[],[],[],[],None,None,"[{'name': 'thinking about', 'id': 3390, 'status': None, 'engaged': [], 'lexeme': 'thinking about', 'alias': ['thinking about'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f40d1d0>}, 'gkg': 'kg:/g/11b7grt_km', 'granular_actor_types': {}, 'granular_entity_types': {'song by just kiddin': 1}, 'gkg_name': 'Thinking About It', 'gkg_type': ['Thing']}, {'name': 'Jordan', 'id': 2992, 'status': None, 'engaged': [], 'lexeme': 'Jordan', 'alias': ['jordan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805e6d3828>}, 'gkg': 'kg:/m/03__y', 'granular_actor_types': {}, 'granular_entity_types': {'country in the middle east': 1}, 'gkg_name': 'Jordan', 'gkg_type': ['Thing', 'Place', 'Country', 'AdministrativeArea']}, {'name': 'a lot', 'id': 375, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f8061f2bac8>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]","[{'name': None, 'id': 3391, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['jimmy'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f80618c0c50>}, 'gkg': None, 'granular_actor_types': {'object': 0.10526315789473684}, 'granular_entity_types': {}}, {'name': 'thinking about', 'id': 3390, 'status': None, 'engaged': [], 'lexeme': 'thinking about', 'alias': ['thinking about'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f805f40d1d0>}, 'gkg': 'kg:/g/11b7grt_km', 'granular_actor_types': {}, 'granular_entity_types': {'song by just kiddin': 1}, 'gkg_name': 'Thinking About It', 'gkg_type': ['Thing']}]",Thinking About It,,,jimmy,"[('Thing', 402.6927175, 'Thinking About It')]",[],True,True
