arg1,arg2,relation,connective,type,original_utt,original_utt_prev
they play the predators to see who will go the the stanley cup finals.,", they played the first game last night.",expansion,in fact,begin,"they play the predators to see who will go the the stanley cup finals. in fact, they played the first game last night.",So who do the Ducks play now?
"yeah, i hear you, ","if it's any consolation, i think the stanley cup playoffs is one of the most unpredictable in sports.",comparison,but,mid,"yeah, i hear you, but if it's any consolation, i think the stanley cup playoffs is one of the most unpredictable in sports. the number one seed rarely wins the cup.","Yeah, what makes it worse is that half the teams make the playoffs in the NHL and they still haven't gotten the Stanley Cup."
"yeah, i guess, ",i think that logic goes either way.,comparison,but,mid,"yeah, i guess, but i think that logic goes either way. the unpredictably should mean the blues could have won the cup.","Yeah, I hear you, but if it's any consolation, I think the Stanley Cup playoffs is one of the most unpredictable in sports. The number one seed rarely wins the cup."
it may be another 50 years ,the blues win the cup.,temporal,before,mid,"yeah, i hadn't thought of it that way. it may be another 50 years before the blues win the cup.",What makes it worse is that they had there best shot before there were expansion franchises. Now it will be even harder.
"no i never have, ",its my favorite sport,comparison,but,mid,"no i never have, but its my favorite sport",That would be fun! Have you every played before?
"yes, there can be ties ",you can also play shootout,comparison,but,mid,"yes, there can be ties but you can also play shootout",Can there be ties?
there's a lot of traffic today ,of the ncaa finals.,contingency,because,mid,there's a lot of traffic today because of the ncaa finals.,Yes it would be
my college buddy's son is playing for denver.,it would be an even sweeter victory if we won.,contingency,so,begin,my college buddy's son is playing for denver.  so it would be an even sweeter victory if we won.,How did you score free tickets?
"yeah, i used to play street hockey a lot ",of that movie.,contingency,because,mid,"yeah, i used to play street hockey a lot because of that movie.",That's pretty funny!
well i never really skated ,i'd love to give it a try.,comparison,but,mid,well i never really skated but i'd love to give it a try.,Maybe you should play a hockey game with my rec league some time?
"i really thought the capitals were going to make a comeback and advance, ","yet again, they're out of the playoffs.",comparison,but,mid,"i really thought the capitals were going to make a comeback and advance, but yet again, they're out of the playoffs.",You're right. They could lose steam during this series against the Senators.
"no i never have, ",its my favorite sport,comparison,but,mid,"no i never have, but its my favorite sport",That would be fun! Have you every played before?
"yes, there can be ties ",you can also play shootout,comparison,but,mid,"yes, there can be ties but you can also play shootout",Can there be ties?
"well, we don't know yet, ","oshie, shattenkirk, winnik, and quite a few others will probably become free agents.",comparison,but,mid,"well, we don't know yet, but oshie, shattenkirk, winnik, and quite a few others will probably become free agents.",How so?  Players leaving?
"they seem like good guys, i have no reason not to like them.",karlsson in ottawa has been playing out of his mind.,comparison,but,begin,"yeah, it would.  they seem like good guys, i have no reason not to like them.  but karlsson in ottawa has been playing out of his mind.","Oh yeah, having the eighth seed win the cup after beating the Blackhawks would be pretty cool."
"in doing this, we are allowing a goalie to stink ",still get the trophy,comparison,but,mid,"if the goalie cannot block all pucks, what is the point?   add another offensive player.  in doing this, we are allowing a goalie to stink but still get the trophy",Well you can only stop so many pucks.
that team has one good player claude giroux ,the rest of them like to whine and they pick on pittsburgh.,comparison,but,mid,at least the flyers did not make the playoffs this season.  that team has one good player claude giroux but the rest of them like to whine and they pick on pittsburgh.,Crosby is the player that I love to hate.  He has been given a golden skate by the officials and gets away with everthing.   He never sits in the penalty box.
pittsburgh is only hated in philadelphia ,"they are good and they win, not choke.",contingency,because,mid,"pittsburgh is only hated in philadelphia because they are good and they win, not choke.",At least the Flyers did not make the playoffs this season.  That team has one good player Claude Giroux but the rest of them like to whine and they pick on Pittsburgh.
"well, defense is weak, ",we have great shooters,comparison,but,mid,"well, defense is weak, but we have great shooters",Your team sucks and you know it
well the predators have been fun to watch recently ,historically they have not been a high achieving team.,contingency,because,mid,well the predators have been fun to watch recently because historically they have not been a high achieving team.,Are there any other teams you like to watch?
my children do not play sports ,"are interested in ice  hockey, how do they get started?",comparison,but,mid,"my children do not play sports but are interested in ice  hockey, how do they get started?",My son is an ice hockey player. What sports do your children play?
he must have known how to skate ,he started playing ice hockey.,temporal,before,mid,he must have known how to skate before he started playing ice hockey.,Our town has an ice hockey team at the local ice rink. Our son started playing in second grade.
we also travel a lot ,there are extra costs.,contingency,so,mid,in our town about $2000 a year with all of the gear. of course with a growing boy you need new skates every year. we also travel a lot so there are extra costs.,How much of an investment is it for children to play hockey?
"no i never have, ",its my favorite sport,comparison,but,mid,"no i never have, but its my favorite sport",That would be fun! Have you every played before?
"yes, there can be ties ",you can also play shootout,comparison,but,mid,"yes, there can be ties but you can also play shootout",Can there be ties?
"they are a good team, ",i don't think they are good enough to go back or to even win.,comparison,but,mid,"yeah me too.  they are a good team, but i don't think they are good enough to go back or to even win.",To be honest I am tired of everyone talking about Pittsburgh going back to the Stanley cup.
"there was talk about pittsburgh, and the capitals over and over, ",nashville has continuously been overlooked.,comparison,but,mid,"nashville has been a total surprise.  there was talk about pittsburgh, and the capitals over and over, but nashville has continuously been overlooked.","Your right, especially the way Nashville is playing."
"i thought that the blue would have beat nashville, ",boy was i wrong.,comparison,but,mid,"i thought that the blue would have beat nashville, but boy was i wrong.","Nashville has been a total surprise.  There was talk about Pittsburgh, and the Capitals over and over, but Nashville has continuously been overlooked."
"they may be good, ",they are not the only players in the nhl.,comparison,but,mid,"it does get tiring hearing those name over and over.  they may be good, but they are not the only players in the nhl.","Yeah, It will be nice to not have to hear about Ovenchkin and Crosby anymore."
ya that's the breaks ,they had a decent season overll,comparison,but,mid,ya that's the breaks but they had a decent season overll,too bad for them they got knocked out in the first round
haha i know ,when it comes to the playoffs i watch to sees doing well,comparison,but,mid,haha i know but when it comes to the playoffs i watch to sees doing well,It's good for them just not for fans like you
the ducks led the whole first ,we can see that turned around eventually!,comparison,but,mid,the ducks led the whole first but we can see that turned around eventually!,Who lead in penalties?
"no i never have, ",its my favorite sport,comparison,but,mid,"no i never have, but its my favorite sport",That would be fun! Have you every played before?
"yes, there can be ties ",you can also play shootout,comparison,but,mid,"yes, there can be ties but you can also play shootout",Can there be ties?
i believe ottawa will win it all ,they play the hardest every game.,contingency,because,mid,i believe ottawa will win it all because they play the hardest every game.,"I agree, since ice hockey is the most popular sport there."
"they possibly could, ",", of course, they have to contain sidney crosby.",comparison,but,mid,"they possibly could, but, of course, they have to contain sidney crosby.",I believe Ottawa will win it all because they play the hardest every game.
"yeah, canada has looked very strong the past few olympics, ",that one was pretty amazing.,comparison,but,mid,"yeah, canada has looked very strong the past few olympics, but that one was pretty amazing.",I don't blame them too much though. Canada looked really good that year.
"yeah i do too, ",if they drop that 2nd game then all bets are off.,comparison,but,mid,"yeah i do too, but if they drop that 2nd game then all bets are off.","I really think this could be their year, if they can refocus"
"and they are playing at home, ",they can't afford to lose this one.,contingency,so,mid,"and they are playing at home, so they can't afford to lose this one.",I agree. He is their best player and he needs to step up
"no i never have, ",its my favorite sport,comparison,but,mid,"no i never have, but its my favorite sport",That would be fun! Have you every played before?
