arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"i'm not a big country music fan, ",i like some of her songs.,comparison,but,mid,"i'm not a big country music fan, but i like some of her songs.",She really is. I like Carrie Underwood too.,nAnswer,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],"[('MusicAlbum', 257.44425, 'Her Songs')]",['entertainment'],['entertainment'],['Music'],['Music'],None,None,['music'],['music'],[],['opinion_provide_pos_patterns_songs'],None,None,"[{'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['country music fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25860e4978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'songs', 'id': 341, 'status': None, 'engaged': [], 'lexeme': 'songs', 'alias': ['songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f2582987d68>}, 'gkg': 'kg:/m/01lq69t', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'album by tiger huang': 1}, 'gkg_name': 'Her Songs', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 340, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['country music fan'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25860e4978>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Her Songs,country music fan,,[],"[('MusicAlbum', 257.44425, 'Her Songs')]",True,True
"anyways i like him though,",i generally love rnb songs,comparison,although,mid,"anyways i like him though,although i generally love rnb songs","yeah, aside that i haven't really enjoyed his recent works and i don't even keep up with news about him",Statement,Statement,None,None,"('Neutral', 1.0)","('Positive', 1.0)",[],[],['sport'],['entertainment'],['Other'],['Music'],None,None,[],['music'],['opinion_provide_pos_patterns_him though'],[],None,None,"[{'name': 'songs', 'id': 341, 'status': None, 'engaged': [], 'lexeme': 'songs', 'alias': ['songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f2582987d68>}, 'gkg': 'kg:/m/01lq69t', 'granular_actor_types': {'communication': 0.23076923076923078}, 'granular_entity_types': {'album by tiger huang': 1}, 'gkg_name': 'Her Songs', 'gkg_type': ['MusicAlbum']}]","[{'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['rnb songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829cbd68>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,,rnb songs,[],[],True,True
oh really?,who's on number one on billboard then.,contingency,so,begin,oh really? so who's on number one on billboard then.,"yes you're right, ""love in the air"" its already number 2 on billboard for 2 weeks now.",ynQuestion,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('Movie', 833.152404, 'Number One')]",['sport'],['entertainment'],['Phatic'],['Music'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 342, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['rnb songs'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829cbd68>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'number one', 'id': 343, 'status': None, 'engaged': [], 'lexeme': 'number one', 'alias': ['number one'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258295dfd0>}, 'gkg': 'kg:/g/11g9swsl3h', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'2017 film': 1}, 'gkg_name': 'Number One', 'gkg_type': ['Movie']}, {'name': None, 'id': 344, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['billboard'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289d358>}, 'gkg': None, 'granular_actor_types': {'object': 0.14285714285714285}, 'granular_entity_types': {}}]",,Number One,,billboard,[],"[('Movie', 833.152404, 'Number One')]",True,True
"i still really love paramore, ",that sounds awesome.,contingency,so,mid,"i still really love paramore, so that sounds awesome.","Yeah, that's them! Actually, I think some of the songs on Tancred's new album sound a little bit like Paramore.",Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)",[],"[('MusicRecording', 290.672, 'Sounds Awesome')]",['entertainment'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paramore'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829acdd8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'number one', 'id': 343, 'status': None, 'engaged': [], 'lexeme': 'number one', 'alias': ['number one'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258295dfd0>}, 'gkg': 'kg:/g/11g9swsl3h', 'granular_actor_types': {'person': 0.38461538461538464}, 'granular_entity_types': {'2017 film': 1}, 'gkg_name': 'Number One', 'gkg_type': ['Movie']}, {'name': None, 'id': 344, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['billboard'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289d358>}, 'gkg': None, 'granular_actor_types': {'object': 0.14285714285714285}, 'granular_entity_types': {}}]","[{'name': 'sounds awesome', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'sounds awesome', 'alias': ['sounds awesome'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289bc50>}, 'gkg': 'kg:/m/0fxv905', 'granular_actor_types': {}, 'granular_entity_types': {'song by kenan bell': 1}, 'gkg_name': 'Sounds Awesome', 'gkg_type': ['MusicRecording']}, {'name': None, 'id': 345, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['paramore'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829acdd8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,Sounds Awesome,paramore,,[],"[('MusicRecording', 290.672, 'Sounds Awesome')]",True,True
yeah i like them a lot ,didn't realize how popular they are.,comparison,but,mid,yeah i like them a lot but didn't realize how popular they are.,Oh same!,Statement,whQuestion,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('LocalBusiness', 402.765125, 'Save-A-Lot')]","[('Thing', 337.293, 'they are')]",['sport'],['sport'],['Phatic'],['Other'],None,None,[],[],['opinion_provide_pos_patterns_a lot'],[],None,None,"[{'name': 'a lot', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289bfd0>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}, {'name': 'sounds awesome', 'id': 346, 'status': None, 'engaged': [], 'lexeme': 'sounds awesome', 'alias': ['sounds awesome'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289bc50>}, 'gkg': 'kg:/m/0fxv905', 'granular_actor_types': {}, 'granular_entity_types': {'song by kenan bell': 1}, 'gkg_name': 'Sounds Awesome', 'gkg_type': ['MusicRecording']}]","[{'name': 'are', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'are', 'alias': ['are'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829657b8>}, 'gkg': 'kg:/g/1q5jxj9tb', 'granular_actor_types': {}, 'granular_entity_types': {'song by bob dylan': 1}, 'gkg_name': 'they are', 'gkg_type': ['Thing']}, {'name': 'a lot', 'id': 347, 'status': None, 'engaged': [], 'lexeme': 'a lot', 'alias': ['a lot'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258289bfd0>}, 'gkg': 'kg:/m/0209r2', 'granular_actor_types': {}, 'granular_entity_types': {'supermarket company': 1}, 'gkg_name': 'Save-A-Lot', 'gkg_type': ['LocalBusiness', 'Thing', 'Corporation', 'Organization']}]",Save-A-Lot,they are,,,"[('LocalBusiness', 402.765125, 'Save-A-Lot')]","[('Thing', 337.293, 'they are')]",True,True
"i know, ",he feels that he's done enough.,comparison,but,mid,"i know, but he feels that he's done enough.",You belong to the people when your famous.,Statement,Other,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('Thing', 617.69575, 'I Know')]","[('MusicRecording', 289.612518, 'Done Enough')]",['sport'],['sport'],['Phatic'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'i know', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'i know', 'alias': ['i know'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25808803c8>}, 'gkg': 'kg:/g/11b7gqdjrh', 'granular_actor_types': {}, 'granular_entity_types': {'song by big sean': 1}, 'gkg_name': 'I Know', 'gkg_type': ['Thing']}, {'name': 'are', 'id': 348, 'status': None, 'engaged': [], 'lexeme': 'are', 'alias': ['are'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829657b8>}, 'gkg': 'kg:/g/1q5jxj9tb', 'granular_actor_types': {}, 'granular_entity_types': {'song by bob dylan': 1}, 'gkg_name': 'they are', 'gkg_type': ['Thing']}]","[{'name': 'done enough', 'id': 350, 'status': None, 'engaged': [], 'lexeme': 'done enough', 'alias': ['done enough'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829accc0>}, 'gkg': 'kg:/m/010ly0j', 'granular_actor_types': {}, 'granular_entity_types': {'song by black creek band': 1}, 'gkg_name': 'Done Enough', 'gkg_type': ['MusicRecording']}, {'name': 'i know', 'id': 349, 'status': None, 'engaged': [], 'lexeme': 'i know', 'alias': ['i know'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25808803c8>}, 'gkg': 'kg:/g/11b7gqdjrh', 'granular_actor_types': {}, 'granular_entity_types': {'song by big sean': 1}, 'gkg_name': 'I Know', 'gkg_type': ['Thing']}]",I Know,Done Enough,,,"[('Thing', 617.69575, 'I Know')]","[('MusicRecording', 289.612518, 'Done Enough')]",True,True
it is good ,not as good as his earlier work.,comparison,but,mid,it is good but not as good as his earlier work.,How does it compare to his other albums?,Statement,Statement,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Thing', 717.73, 'it is good')]",[],['sport'],['sport'],['Phatic'],['Other'],None,None,[],[],[],[],None,None,"[{'name': 'is good', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'is good', 'alias': ['is good'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f2582956780>}, 'gkg': 'kg:/g/1s05rn6sj', 'granular_actor_types': {}, 'granular_entity_types': {'song by matt maher': 1}, 'gkg_name': 'it is good', 'gkg_type': ['Thing']}, {'name': 'done enough', 'id': 350, 'status': None, 'engaged': [], 'lexeme': 'done enough', 'alias': ['done enough'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829accc0>}, 'gkg': 'kg:/m/010ly0j', 'granular_actor_types': {}, 'granular_entity_types': {'song by black creek band': 1}, 'gkg_name': 'Done Enough', 'gkg_type': ['MusicRecording']}]","[{'name': 'is good', 'id': 351, 'status': None, 'engaged': [], 'lexeme': 'is good', 'alias': ['is good'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f2582956780>}, 'gkg': 'kg:/g/1s05rn6sj', 'granular_actor_types': {}, 'granular_entity_types': {'song by matt maher': 1}, 'gkg_name': 'it is good', 'gkg_type': ['Thing']}]",it is good,,,,"[('Thing', 717.73, 'it is good')]",[],True,True
"i heard that they are bases out of utah, ",they're just hitting the western states.,contingency,so,mid,"i heard that they are bases out of utah, so they're just hitting the western states.",Why limited?,Reject,Reject,None,None,"('Neutral', 1.0)","('Negative', 1.0)","[('AdministrativeArea', 179.386, 'Utah')]","[('Place', 788.85589575, 'Western United States')]",['sport'],['sport'],['Other'],['Sports'],None,None,[],[],['long_parse_time'],[],None,None,"[{'name': None, 'id': 352, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['base'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258084be80>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}, {'name': 'utah', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'utah', 'alias': ['utah'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258084bf60>}, 'gkg': 'kg:/m/07srw', 'granular_actor_types': {'region': 0.25, 'location': 0.2, 'object': 0.1}, 'granular_entity_types': {'us state': 1}, 'gkg_name': 'Utah', 'gkg_type': ['AdministrativeArea', 'Thing', 'Place']}]","[{'name': 'western states', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'western states', 'alias': ['western states'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829565f8>}, 'gkg': 'kg:/m/018hr_', 'granular_actor_types': {}, 'granular_entity_types': {'region': 1}, 'gkg_name': 'Western United States', 'gkg_type': ['Place']}, {'name': None, 'id': 352, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['base'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258084be80>}, 'gkg': None, 'granular_actor_types': {'object': 0.15384615384615385}, 'granular_entity_types': {}}, {'name': 'utah', 'id': 353, 'status': None, 'engaged': [], 'lexeme': 'utah', 'alias': ['utah'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f258084bf60>}, 'gkg': 'kg:/m/07srw', 'granular_actor_types': {'region': 0.25, 'location': 0.2, 'object': 0.1}, 'granular_entity_types': {'us state': 1}, 'gkg_name': 'Utah', 'gkg_type': ['AdministrativeArea', 'Thing', 'Place']}]",Utah,Western United States,base,,"[('AdministrativeArea', 179.386, 'Utah')]","[('Place', 788.85589575, 'Western United States')]",True,True
"he's about a hundred, ",it's now or never.,contingency,so,mid,"he's about a hundred, so it's now or never.",Why would you want to see his show?,Statement,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)",[],"[('Movie', 461.658555, 'Now or Never')]",['sport'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'western states', 'id': 354, 'status': None, 'engaged': [], 'lexeme': 'western states', 'alias': ['western states'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25829565f8>}, 'gkg': 'kg:/m/018hr_', 'granular_actor_types': {}, 'granular_entity_types': {'region': 1}, 'gkg_name': 'Western United States', 'gkg_type': ['Place']}]","[{'name': 'now or never', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'now or never', 'alias': ['now or never'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25808aba90>}, 'gkg': 'kg:/g/11h1t0zmp', 'granular_actor_types': {}, 'granular_entity_types': {'2003 film': 1}, 'gkg_name': 'Now or Never', 'gkg_type': ['Movie']}]",,Now or Never,,,[],"[('Movie', 461.658555, 'Now or Never')]",True,True
"no my favorite, ",i'd like to be able to say i saw him in concert.,comparison,but,mid,"no my favorite, but i'd like to be able to say i saw him in concert.",I guess. I didn't know you liked country.,Reject,Statement,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],"[('MusicAlbum', 625.6731179999999, 'In Concert')]",['sport'],['sport'],['Phatic'],['Art_Event'],None,None,[],[],['opinion_provide_pos_patterns_no:match'],['long_parse_time'],None,None,"[{'name': 'now or never', 'id': 355, 'status': None, 'engaged': [], 'lexeme': 'now or never', 'alias': ['now or never'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f25808aba90>}, 'gkg': 'kg:/g/11h1t0zmp', 'granular_actor_types': {}, 'granular_entity_types': {'2003 film': 1}, 'gkg_name': 'Now or Never', 'gkg_type': ['Movie']}]","[{'name': 'in concert', 'id': 357, 'status': None, 'engaged': [], 'lexeme': 'in concert', 'alias': ['in concert'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f2580880b00>}, 'gkg': 'kg:/m/026_q_t', 'granular_actor_types': {}, 'granular_entity_types': {'live album by the doors': 1}, 'gkg_name': 'In Concert', 'gkg_type': ['MusicAlbum']}]",,In Concert,,,[],"[('MusicAlbum', 625.6731179999999, 'In Concert')]",True,True
