arg1,arg2,relation,connective,type,original_utt,original_utt_prev
yeah the patriots are killing it...,do you think that the broncos can come back without manning behind the helm?,comparison,but,mid,yeah the patriots are killing it...but do you think that the broncos can come back without manning behind the helm?,"Oh definitely members of the patriots if I can, like brady, gronkowski, edelman."
they have a lot of talent in their wide receivers...,you have to have a high quality qb at the helm.,comparison,but,mid,they have a lot of talent in their wide receivers...but you have to have a high quality qb at the helm.,Yeah the patriots are killing it...but do you think that the broncos can come back without manning behind the helm?
"2017 cap is $167 million rite now, ",roughly 15%.,contingency,so,mid,"2017 cap is $167 million rite now, so roughly 15%. next step in mack i'm sure.",That's a lot of money. What % of the team's cap is that?
"so two players would command 28% the raider's cap, ","without these two combined, the raiders probably win 3 games instead of 12 last year.",comparison,but,mid,"mack will probably command around $22 million a year i think. gonna be more than people expect. so two players would command 28% the raider's cap, but without these two combined, the raiders probably win 3 games instead of 12 last year.","2017 cap is $167 million rite now, so roughly 15%. Next step in Mack I'm sure."
"yup, can't doing anything about it ",in a few years the raiders will be in vegas and this could be huge for the team.,comparison,but,mid,"yup, can't doing anything about it but in a few years the raiders will be in vegas and this could be huge for the team.",I guess everybody is just going to have to wait and see how all this plays out.
it could be ,"imagine if carr or mack gets hurt, that's all basically dead money at that point.",comparison,but,mid,"it could be but imagine if carr or mack gets hurt, that's all basically dead money at that point.","Yup, can't doing anything about it but in a few years the Raiders will be in Vegas and this could be huge for the team."
dak did really good last year ,the cowboys running game was so strong.,contingency,because,mid,dak did really good last year because the cowboys running game was so strong.,So what are you talking about.
brady is always tops or maybe rodgers.,depending on who's left.,comparison,but,begin,brady is always tops or maybe rodgers.  but depending on who's left.,Yeah I hope so.  Who's your top quarterback choice?
"not only that, ",he became a game analyst for cbs after he quit playing.,comparison,but,mid,"not only that, but he became a game analyst for cbs after he quit playing.",Oh he played with the Pittsburgh Steelers.
"well, first of all i am still mad they are the new york jets ",play in new jersey.,comparison,but,mid,"well, first of all i am still mad they are the new york jets but play in new jersey.",With the 2017 NFL season starting what do you think of the Jets prospects?
"i have no idea , ",i am in fantasy football and it makes it more interesting,comparison,but,mid,"i have no idea , but i am in fantasy football and it makes it more interesting",Who do you think will win it all?
"hopefully jj will be healthy , ",you need a good quarterback,comparison,but,mid,"hopefully jj will be healthy , but you need a good quarterback",I am hoping for my home team the texans
"i was really lousy last year , ",i learned a lot .,comparison,but,mid,"i was really lousy last year , but i learned a lot .",I might try fantasy football this year
"a lot of it is luck , ",all it takes is for someone to get hurt and then all the good ones are picked.,contingency,because,mid,"a lot of it is luck , because all it takes is for someone to get hurt and then all the good ones are picked.",we had one guy who paid to get list made and he finished almost last.
jaquizz rodgers showed promise last season ,i think sims will get the nod.,comparison,but,mid,jaquizz rodgers showed promise last season but i think sims will get the nod.,Who do you think will start?
he is getting older and playing less ,adam humphries doubles as a receiver and tight end.,comparison,but,mid,he is getting older and playing less but adam humphries doubles as a receiver and tight end.,They still have Vincent Jackson too.
yeah he definetly went out on top.,he really had tarell davis to thank for their being there both those years.,comparison,but,begin,yeah he definetly went out on top.  but he really had tarell davis to thank for their being there both those years.,Best times of my life.  I still get chills watching him dive for the TD in his last superbowl.
why is glennon getting money ,he cant get a backup job?,comparison,but,mid,why is glennon getting money but he cant get a backup job?,Now thats a terrible take.
"i think cam has great potential, ",he needs to drop the antics and play ball.,comparison,but,mid,"i think cam has great potential, but he needs to drop the antics and play ball.",I can't disagree. Cam definitely looks a lot more frail when you look at his press conferences.
"both teams that season had terrible o-lines, ",i guess it speaks volume to how important  good running and a great defense is.,comparison,but,mid,"both teams that season had terrible o-lines, but i guess it speaks volume to how important  good running and a great defense is.",That and to be honest their team that year had a lot of luck in my opinion. You don't see a lot of Superbowl teams with that bad of an offensive line.
"yeah, i agree, ",notice both teams fell apart this season for that very same reason.,comparison,but,mid,"yeah, i agree, but notice both teams fell apart this season for that very same reason. their porous o-lines caused poor quarterback play.","Both teams that season had terrible o-lines, but I guess it speaks volume to how important  good running and a great defense is."
