arg1,arg2,relation,connective,type,original_utt,original_utt_prev,arg1_dialogue_act,arg2_dialogue_act,arg1_special_dialogue_act,arg2_special_dialogue_act,arg1_sentiment,arg2_sentiment,arg1_gnode_entities,arg2_gnode_entities,arg1_topic,arg2_topic,arg1_cobot_topics,arg2_cobot_topics,arg1_cobot_topics_process,arg2_cobot_topics_process,arg1_flow_topics,arg2_flow_topics,arg1_intents,arg2_intents,arg1_signature,arg2_signature,arg1_actors,arg2_actors,arg1_gkg_entities,arg2_gkg_entities,arg1_gkg_keywords,arg2_gkg_keywords,arg1_gkg_etype_list,arg2_gkg_etype_list,arg1_non_ambiguous_named_entity_person,arg2_non_ambiguous_named_entity_person
"that sounds cute, i do it when i got out, ",not all the time.,comparison,but,mid,"that sounds cute, i do it when i got out, but not all the time.","I always wear jeans, sandals, and tank tops. It's my favorite fashion statement.",Statement,Statement,None,None,"('Positive', 1.0)","('Negative', 1.0)","[('Thing', 253.41095325000003, 'Got Out'), ('MusicRecording', 463.8117975, 'I Got Out')]",[],['sport'],['sport'],['Music'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2126, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['i got out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71667b8>}, 'gkg': 'kg:/g/11gxs5gghd', 'granular_actor_types': {}, 'granular_entity_types': {'song by bryan popin': 1}, 'gkg_name': 'I Got Out', 'gkg_type': ['MusicRecording']}, {'name': 'beg to differ', 'id': 2125, 'status': None, 'engaged': [], 'lexeme': 'beg to differ', 'alias': ['beg to differ'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4b17e48>}, 'gkg': 'kg:/m/01k7wh9', 'granular_actor_types': {}, 'granular_entity_types': {'album by prong': 1}, 'gkg_name': 'Beg to Differ', 'gkg_type': ['MusicAlbum']}]","[{'name': None, 'id': 1071, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['all the time'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6f1f2e8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2126, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['i got out'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71667b8>}, 'gkg': 'kg:/g/11gxs5gghd', 'granular_actor_types': {}, 'granular_entity_types': {'song by bryan popin': 1}, 'gkg_name': 'I Got Out', 'gkg_type': ['MusicRecording']}]","Got Out, I Got Out",,,all the time,"[('Thing', 253.41095325000003, 'Got Out'), ('MusicRecording', 463.8117975, 'I Got Out')]",[],True,True
"i wanted to get a geometric design once, ",i couldn't find a shirt i liked with them.,comparison,but,mid,"that sounds like it looks good. i wanted to get a geometric design once, but i couldn't find a shirt i liked with them.",I like them. I have these camp leggings and I have a super cute black shirt that I wear with them.,Statement,nAnswer,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],"[('Thing', 243.0925, 'a shirt')]",['sport'],['sport'],['SciTech'],['Fashion'],None,None,[],[],[],['opinion_provide_pos_patterns_no:match'],None,None,"[{'name': None, 'id': 2127, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['design'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4e2f898>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}, {'name': None, 'id': 1071, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['all the time'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6f1f2e8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'a shirt', 'id': 2128, 'status': None, 'engaged': [], 'lexeme': 'a shirt', 'alias': ['a shirt'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4f5abe0>}, 'gkg': 'kg:/g/11f26yr0fg', 'granular_actor_types': {'object': 0.1}, 'granular_entity_types': {'song by buffalo': 1}, 'gkg_name': 'a shirt', 'gkg_type': ['Thing']}, {'name': None, 'id': 2127, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['design'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4e2f898>}, 'gkg': None, 'granular_actor_types': {'act': 0.3333333333333333, 'event': 0.26666666666666666}, 'granular_entity_types': {}}]",,a shirt,design,,[],"[('Thing', 243.0925, 'a shirt')]",True,True
i saw them at a craft shop ,never used them after i bought them.,comparison,but,mid,i saw them at a craft shop but never used them after i bought them. you may have them.,Those are so cool? Where did they come from?,Emphasis,Clarify,None,None,"('Neutral', 1.0)","('Negative', 1.0)",[],[],['sport'],['sport'],['Art_Event'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2129, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a craft shop'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c70329b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'a shirt', 'id': 2128, 'status': None, 'engaged': [], 'lexeme': 'a shirt', 'alias': ['a shirt'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4f5abe0>}, 'gkg': 'kg:/g/11f26yr0fg', 'granular_actor_types': {'object': 0.1}, 'granular_entity_types': {'song by buffalo': 1}, 'gkg_name': 'a shirt', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 2129, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['a craft shop'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c70329b0>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,a craft shop,,[],[],True,True
"it sure is, i see them everywhere i go.",i saw them on amber heard first.,comparison,but,begin,"it sure is, i see them everywhere i go. but i saw them on amber heard first.",Those sunglasses the rapper Pitbull made famous are still popular. It's amazing.,Statement,Statement,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('Thing', 1264.12711425, 'Everywhere I Go')]",[],['sport'],['sport'],['Other'],['Travel_Geo'],None,None,[],[],[],[],None,None,"[{'name': 'everywhere i go', 'id': 2130, 'status': None, 'engaged': [], 'lexeme': 'everywhere i go', 'alias': ['everywhere i go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71ffd68>}, 'gkg': 'kg:/g/1q5hnrmxd', 'granular_actor_types': {}, 'granular_entity_types': {'song by hollywood undead': 1}, 'gkg_name': 'Everywhere I Go', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 2131, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['amber'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64b6898>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'everywhere i go', 'id': 2130, 'status': None, 'engaged': [], 'lexeme': 'everywhere i go', 'alias': ['everywhere i go'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c71ffd68>}, 'gkg': 'kg:/g/1q5hnrmxd', 'granular_actor_types': {}, 'granular_entity_types': {'song by hollywood undead': 1}, 'gkg_name': 'Everywhere I Go', 'gkg_type': ['Thing']}]",Everywhere I Go,,,amber,"[('Thing', 1264.12711425, 'Everywhere I Go')]",[],True,True
He's fighting with the company that produces them.,he's wearing some other kind?,contingency,so,begin,so he's wearing some other kind?,"No, he definitely doesn't. He's fighting with the company that produces them.",Statement,Other,None,None,"('Positive', 1.0)","('Neutral', 1.0)","[('TVSeries', 712.0242499999999, 'The Company')]","[('MusicRecording', 489.54937, 'Some Other Kind')]",['business'],['sport'],['Other'],['Phatic'],None,None,[],[],[],[],None,None,"[{'name': 'the company', 'id': 1695, 'status': None, 'engaged': [], 'lexeme': 'the company', 'alias': ['the company'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9fd0>}, 'gkg': 'kg:/m/026535j', 'granular_actor_types': {}, 'granular_entity_types': {'television program': 1}, 'gkg_name': 'The Company', 'gkg_type': ['TVSeries', 'Movie', 'Thing']}, {'name': None, 'id': 2131, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['amber'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c64b6898>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': 'some other kind', 'id': 2132, 'status': None, 'engaged': [], 'lexeme': 'some other kind', 'alias': ['some other kind'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4f6dac8>}, 'gkg': 'kg:/m/01168tc6', 'granular_actor_types': {}, 'granular_entity_types': {'song by billy cobham’s glass menagerie': 1}, 'gkg_name': 'Some Other Kind', 'gkg_type': ['MusicRecording']}, {'name': 'the company', 'id': 1695, 'status': None, 'engaged': [], 'lexeme': 'the company', 'alias': ['the company'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c66b9fd0>}, 'gkg': 'kg:/m/026535j', 'granular_actor_types': {}, 'granular_entity_types': {'television program': 1}, 'gkg_name': 'The Company', 'gkg_type': ['TVSeries', 'Movie', 'Thing']}]",The Company,Some Other Kind,,,"[('TVSeries', 712.0242499999999, 'The Company')]","[('MusicRecording', 489.54937, 'Some Other Kind')]",True,True
i wonder if people will wear the ones he used to wear ,"of the publicity, or his new pick.",contingency,because,mid,"i wonder if people will wear the ones he used to wear because of the publicity, or his new pick.",I guess so.,Clarify,Statement,None,None,"('Neutral', 1.0)","('Neutral', 1.0)","[('MusicGroup', 532.8732500000001, 'The Ones'), ('TVSeries', 175.0653333333333, 'What Not to Wear')]",[],['sport'],['entertainment'],['Religion'],['Other'],None,None,['travel'],[],[],[],None,None,"[{'name': None, 'id': 1580, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['wonder'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c573df98>}, 'gkg': None, 'granular_actor_types': {'feeling': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': None, 'id': 658, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['person', 'people'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6a24f28>}, 'gkg': None, 'granular_actor_types': {'person': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': 'the ones', 'id': 1319, 'status': None, 'engaged': [], 'lexeme': 'the ones', 'alias': ['the ones'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5aecc88>}, 'gkg': 'kg:/m/01mpj20', 'granular_actor_types': {}, 'granular_entity_types': {'musical band': 1}, 'gkg_name': 'The Ones', 'gkg_type': ['MusicGroup']}, {'name': 'to wear', 'id': 2133, 'status': None, 'engaged': [], 'lexeme': 'to wear', 'alias': ['to wear'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c50c2710>}, 'gkg': 'kg:/m/025vrvl', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'What Not to Wear', 'gkg_type': ['TVSeries']}, {'name': 'some other kind', 'id': 2132, 'status': None, 'engaged': [], 'lexeme': 'some other kind', 'alias': ['some other kind'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4f6dac8>}, 'gkg': 'kg:/m/01168tc6', 'granular_actor_types': {}, 'granular_entity_types': {'song by billy cobham’s glass menagerie': 1}, 'gkg_name': 'Some Other Kind', 'gkg_type': ['MusicRecording']}]","[{'name': None, 'id': 2134, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the publicity'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5097860>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 1580, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['wonder'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c573df98>}, 'gkg': None, 'granular_actor_types': {'feeling': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': None, 'id': 658, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['person', 'people'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6a24f28>}, 'gkg': None, 'granular_actor_types': {'person': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': 'the ones', 'id': 1319, 'status': None, 'engaged': [], 'lexeme': 'the ones', 'alias': ['the ones'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5aecc88>}, 'gkg': 'kg:/m/01mpj20', 'granular_actor_types': {}, 'granular_entity_types': {'musical band': 1}, 'gkg_name': 'The Ones', 'gkg_type': ['MusicGroup']}, {'name': 'to wear', 'id': 2133, 'status': None, 'engaged': [], 'lexeme': 'to wear', 'alias': ['to wear'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c50c2710>}, 'gkg': 'kg:/m/025vrvl', 'granular_actor_types': {}, 'granular_entity_types': {'american television series': 1}, 'gkg_name': 'What Not to Wear', 'gkg_type': ['TVSeries']}]","What Not to Wear, The Ones",,wonder,the publicity,"[('MusicGroup', 532.8732500000001, 'The Ones'), ('TVSeries', 175.0653333333333, 'What Not to Wear')]",[],True,True
I wouldn't even recognize Pitbull.,you'd recognize his sunglasses.,comparison,but,begin,but you'd recognize his sunglasses.,"Well, I guess I don't. I wouldn't even recognize Pitbull.",Clarify,Clarify,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],[],['business'],['sport'],['Pets_Animals'],['Phatic'],None,None,[],['astronomy'],[],[],None,None,"[{'name': None, 'id': 2135, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['pitbull'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c50eaa20>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2134, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['the publicity'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5097860>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 2135, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['pitbull'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c50eaa20>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,pitbull,,[],[],True,True
i gotcha yeah i try to wear what they have ,i don't think that they are trendsetters,comparison,but,mid,i gotcha yeah i try to wear what they have but i don't think that they are trendsetters,I'm not looking at the lifestyles and talking specifically about what they wear,Statement,Reject,None,None,"('Negative', 1.0)","('Neutral', 1.0)","[('Thing', 334.545, 'they have')]",[],['sport'],['sport'],['Phatic'],['Other'],None,None,[],[],[],[],None,None,"[{'name': None, 'id': 2136, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['gotcha'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c63bc828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'have', 'id': 2137, 'status': None, 'engaged': [], 'lexeme': 'have', 'alias': ['have'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6ff3198>}, 'gkg': 'kg:/g/1s05sjs3f', 'granular_actor_types': {'person': 0.35714285714285715}, 'granular_entity_types': {'song by the new seekers': 1}, 'gkg_name': 'they have', 'gkg_type': ['Thing']}]","[{'name': None, 'id': 2138, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['trendsetters'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c51f3518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': None, 'id': 2136, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['gotcha'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c63bc828>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}, {'name': 'have', 'id': 2137, 'status': None, 'engaged': [], 'lexeme': 'have', 'alias': ['have'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6ff3198>}, 'gkg': 'kg:/g/1s05sjs3f', 'granular_actor_types': {'person': 0.35714285714285715}, 'granular_entity_types': {'song by the new seekers': 1}, 'gkg_name': 'they have', 'gkg_type': ['Thing']}]",they have,,gotcha,trendsetters,"[('Thing', 334.545, 'they have')]",[],True,True
"there's gonna be a ton of people, and we all have different styles, ",you'll be able to find whatever!,contingency,so,mid,"there's gonna be a ton of people, and we all have different styles, so you'll be able to find whatever!",Cool! I do have a bunch of stuff I never wear.,Statement,Emphasis,None,None,"('Negative', 1.0)","('Positive', 1.0)","[('Thing', 382.00925, 'a ton'), ('MusicGroup', 212.52299999999997, 'We All Together'), ('MusicAlbum', 562.642762, 'Different Styles')]",[],['sport'],['sport'],['Phatic'],['Phatic'],None,None,['style'],[],[],[],None,None,"[{'name': None, 'id': 658, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['person', 'people'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6a24f28>}, 'gkg': None, 'granular_actor_types': {'person': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': 'a ton', 'id': 608, 'status': None, 'engaged': [], 'lexeme': 'a ton', 'alias': ['a ton'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6c53cc0>}, 'gkg': 'kg:/g/1s05sk2n5', 'granular_actor_types': {}, 'granular_entity_types': {'song by noir d-sir': 1}, 'gkg_name': 'a ton', 'gkg_type': ['Thing']}, {'name': 'action', 'id': 455, 'status': None, 'engaged': [], 'lexeme': 'all', 'alias': ['all', 'action', 'all the', 'actions'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7003860>}, 'gkg': 'kg:/m/0181f8', 'granular_actor_types': {'act': 0.5, 'event': 0.4}, 'granular_entity_types': {'band': 1}, 'gkg_name': 'The Action', 'gkg_type': ['MusicGroup']}, {'name': 'different styles', 'id': 2139, 'status': None, 'engaged': [], 'lexeme': 'different styles', 'alias': ['different styles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5d732e8>}, 'gkg': 'kg:/m/01q7ytg', 'granular_actor_types': {}, 'granular_entity_types': {'album by ranking stone': 1}, 'gkg_name': 'Different Styles', 'gkg_type': ['MusicAlbum']}, {'name': None, 'id': 2138, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['trendsetters'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c51f3518>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]","[{'name': None, 'id': 658, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['person', 'people'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6a24f28>}, 'gkg': None, 'granular_actor_types': {'person': 0.45454545454545453}, 'granular_entity_types': {}}, {'name': 'a ton', 'id': 608, 'status': None, 'engaged': [], 'lexeme': 'a ton', 'alias': ['a ton'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6c53cc0>}, 'gkg': 'kg:/g/1s05sk2n5', 'granular_actor_types': {}, 'granular_entity_types': {'song by noir d-sir': 1}, 'gkg_name': 'a ton', 'gkg_type': ['Thing']}, {'name': 'action', 'id': 455, 'status': None, 'engaged': [], 'lexeme': 'all', 'alias': ['all', 'action', 'all the', 'actions'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c7003860>}, 'gkg': 'kg:/m/0181f8', 'granular_actor_types': {'act': 0.5, 'event': 0.4}, 'granular_entity_types': {'band': 1}, 'gkg_name': 'The Action', 'gkg_type': ['MusicGroup']}, {'name': 'different styles', 'id': 2139, 'status': None, 'engaged': [], 'lexeme': 'different styles', 'alias': ['different styles'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c5d732e8>}, 'gkg': 'kg:/m/01q7ytg', 'granular_actor_types': {}, 'granular_entity_types': {'album by ranking stone': 1}, 'gkg_name': 'Different Styles', 'gkg_type': ['MusicAlbum']}]","We All Together, a ton, Different Styles",,,,"[('Thing', 382.00925, 'a ton'), ('MusicGroup', 212.52299999999997, 'We All Together'), ('MusicAlbum', 562.642762, 'Different Styles')]",[],True,True
"yes, some are cheap, ",i worry more about fit that quality.,comparison,but,mid,"yes, some are cheap, but i worry more about fit that quality.",Do you think payless has cheap shoes?,yAnswer,Reject,None,None,"('Negative', 1.0)","('Neutral', 1.0)",[],[],['business'],['sport'],['Movies_TV'],['Psychology'],None,None,[],[],[],[],None,None,[],"[{'name': None, 'id': 2140, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['fit'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c4dca2e8>}, 'gkg': None, 'granular_actor_types': {'feeling': 0.3125}, 'granular_entity_types': {}}, {'name': None, 'id': 2141, 'status': None, 'engaged': [], 'lexeme': None, 'alias': ['that quality'], 'possessions': [], 'parts': [], 'opinions': {}, 'properties': {'name': <dialogue.dialogue_classes.actor_data.ActorProperty object at 0x7f90c6f2edd8>}, 'gkg': None, 'granular_actor_types': {}, 'granular_entity_types': {}}]",,,,"fit, that quality",[],[],True,True
