arg1,arg2,relation,connective,type,original_utt,original_utt_prev
I don't wear flat shoes.,they were so cute.,comparison,but,begin,but they were so cute. there was one that was red and white.,Flat shoes are not good for your feet.  I don't wear flat shoes.
like why wear a long-sleeved top ,have a bit cut out?,comparison,but,mid,"it just looks impractical, you know? like why wear a long-sleeved top but have a bit cut out?",Why not?
"i guess so, ",it's not for me.,comparison,but,mid,"i guess so, but it's not for me.","It's like a neutral, but more fun!"
"i could try minimalist for a while, ",i really like owning a lot of clothes.,comparison,but,mid,"i could try minimalist for a while, but i really like owning a lot of clothes.","It's normal size, just not very full. I have like 5 shirts, 2 pairs of pants, and 2 pairs of shoes."
"i""ve never heard of him ",i'll look him up later!,comparison,but,mid,"i""ve never heard of him but i'll look him up later!",I like Alexander Mcqueen pretty much.
i think some companies like lulu roe and buskins have great quality products ,there's a lot of copy cats with poor quality.,comparison,but,mid,i think some companies like lulu roe and buskins have great quality products but there's a lot of copy cats with poor quality.,With so many companies using marketing sales and pop up stores do you believe they are all the same?
i happen love my buskins ,"of the price, free shipping benefit, and they aren't sheer at all.",contingency,because,mid,"i happen love my buskins because of the price, free shipping benefit, and they aren't sheer at all.",I think all body types are good for them as long as the style is coordinated right. Anyone can pull them off with the right top!
some i wear with sandals ,mainly boots and a short dress.,comparison,but,mid,some i wear with sandals but mainly boots and a short dress. it gives it that edgy look.,Which is better to go with them? Boots or sandals?
well shes a model ,she has to wear all those weird outfits.,contingency,so,mid,well shes a model so she has to wear all those weird outfits.,Kendall Jenner dresses nice.
i was going to wear it to a bar or club ,i haven't had the chance yet.,comparison,but,mid,i was going to wear it to a bar or club but i haven't had the chance yet.,I bet it's gorgeous. Where do you wear it?
"yes, i like the length on them ",they are most hip huggers and i like high waisted jeans a little better.,comparison,but,mid,"yes, i like the length on them but they are most hip huggers and i like high waisted jeans a little better.",Have you ever tried true religion jeans?
i don't like hip hugger jeans that much ,i like the larger pocket on true religion jeans.,comparison,but,mid,i know what you mean. i don't like hip hugger jeans that much but i like the larger pocket on true religion jeans.,"Yes, I like the length on them but they are most hip huggers and I like high waisted jeans a little better."
i'm serious ,these are the boxy long kind.,comparison,but,mid,i'm serious but these are the boxy long kind.,Shoulder pads. Give me a break.
the boxy shapes seen on the balenciaga catwalk are likely to be too extreme for us mere muggles ,"more relaxed shapes at chanel and marni gave an insight into how we could take on the trend, too.",comparison,but,mid,"the boxy shapes seen on the balenciaga catwalk are likely to be too extreme for us mere muggles but more relaxed shapes at chanel and marni gave an insight into how we could take on the trend, too.",Look at this article in the Cosmopolitan. See for yourself.
the boxy shapes seen on the balenciaga catwalk are likely to be too extreme for us mere muggles but more relaxed shapes at chanel ,"marni gave an insight into how we could take on the trend, too.",expansion,and,mid,"the boxy shapes seen on the balenciaga catwalk are likely to be too extreme for us mere muggles but more relaxed shapes at chanel and marni gave an insight into how we could take on the trend, too.",Look at this article in the Cosmopolitan. See for yourself.
"i liked how it was covering and went all the way down to her ankles, ",was still sheer and hot,comparison,but,mid,"i liked how it was covering and went all the way down to her ankles, but was still sheer and hot",She did I loved her hair and that green dress was so cute.
I haven't given it much thought.,fashion drives our culture!,comparison,but,begin,but fashion drives our culture!,"Its alright, I suppose. I haven't given it much thought."
"well i used to care about looking cool, ",after what you said...,comparison,but,mid,"well i used to care about looking cool, but after what you said...",Clearly not. What do YOU think of fashion?
Its what your mother would want.,could i really enjoy my pants without seeking others approval?,comparison,but,begin,but could i really enjoy my pants without seeking others approval?,"Go forth, and enjoy your pants. Its what your mother would want."
i hear you and yes you are right.,with those tees you can spread your message without saying a word at all.,comparison,but,begin,i hear you and yes you are right. but with those tees you can spread your message without saying a word at all.,"Oh, please. I don't need fashion gurus to tell me I need to wear a t-shirt with a slogan on it to be cool."
my crazy boss seems to think he owns me just ,i work for him.,contingency,because,mid,my crazy boss seems to think he owns me just because i work for him.,"Cool slogan ""I am the boss of me."" Why did you wear that today?"
i'm sorry to hear that ,now we can see what is on trend for interview attire.,comparison,but,mid,awwh. i'm sorry to hear that but now we can see what is on trend for interview attire.,"Yes, I did. He got the message and I was fired."
"no, i just saw that these were on sale, ",i took advantage.,contingency,so,mid,"no, i just saw that these were on sale, so i took advantage.",That's a great deal. Do you always get your shoes from Ross?
"yes, that is ",pink is in this year.,contingency,because,mid,"yes, that is because pink is in this year.","You have been wearing a lot of pink lately, Sammie."
i used to get picked on everyday ,of that jumpsuit.,contingency,because,mid,yes it was. i used to get picked on everyday because of that jumpsuit.,It wasn't that bad.
i like both ,you're right about silver matching.,comparison,but,mid,i like both but you're right about silver matching.,I wear more silver than gold.
"no, i just saw that these were on sale, ",i took advantage.,contingency,so,mid,"no, i just saw that these were on sale, so i took advantage.",That's a great deal. Do you always get your shoes from Ross?
"they have all kinds, ",they definitely have a great selection for heels.,comparison,but,mid,"they have all kinds, but they definitely have a great selection for heels.",What type of shoes do they have?
