arg1,arg2,relation,connective,type,original_utt,original_utt_prev
i kind of agree ,the color of the oscar de larenta dress was beautiful,comparison,but,mid,i kind of agree but the color of the oscar de larenta dress was beautiful,I also have to say that Jennifer Lopez' dress did not live up to expectation
"well, i'm not quite sure ","i think a long dress will look more elegant, considering the occasion.",comparison,but,mid,"well, i'm not quite sure but i think a long dress will look more elegant, considering the occasion. don't you think?","Sounds great! So, are you thinking about using a long dress or short dress?"
long dresses do look more elegant ,a short dress will draw more attention from the single bachelors!,comparison,but,mid,true. long dresses do look more elegant but a short dress will draw more attention from the single bachelors!,"Well, I'm not quite sure but I think a long dress will look more elegant, considering the occasion. Don't you think?"
"uhm, i have a pair of shoes with heels ",they're not very high.,comparison,but,mid,"uhm, i have a pair of shoes with heels but they're not very high.",Do you have a nice high heel pair of shoes?
We're going to have to go shoe shopping too!,i wasn't planning on buying shoes too!,comparison,but,begin,but i wasn't planning on buying shoes too!,"Oh no, you'd better pick me up at three. We're going to have to go shoe shopping too!"
"i mean if you threw out all your clothes, ","could only keep one outfit, what would you keep?",comparison,but,mid,"i mean if you threw out all your clothes, but could only keep one outfit, what would you keep?",What do you mean?
You can also wear those in any weather.,is it really a good idea to walk around in boots all the time?,comparison,but,begin,but is it really a good idea to walk around in boots all the time?,"For shoes, I think I'd have to pick boots. You can also wear those in any weather."
"so do i, ",my purse doesn't.,comparison,but,mid,"so do i, but my purse doesn't.",I just love that black bag!
"yea it's nice, ",i guess i just like more of a statement.,comparison,but,mid,"yea it's nice, but i guess i just like more of a statement. i think belts look more professional",I just like the black straps on Jessica's dress more. I think its a much more subtle statement.
"that's true, i think both dresses look beautiful given each individual's style, ",i personally like jessica's better,comparison,but,mid,"that's true, i think both dresses look beautiful given each individual's style, but i personally like jessica's better",Well she is much younger
it looked like it was made of old wallpaper.,halle berry's dress was great.,comparison,but,begin,it looked like it was made of old wallpaper. but halle berry's dress was great.,"Yes, wasn't Rihanna's outfit crazy?"
"her dress was a pretty color, ",really blah style.,comparison,but,mid,"her dress was a pretty color, but really blah style.","Jennifer Lopez was pretty toned-down, too."
"i mean it is made to order, supposedly, ",the point is when people dress like that they ask for a certain audience.,comparison,but,mid,"i bet it is. i mean it is made to order, supposedly, but the point is when people dress like that they ask for a certain audience.",Really is that for some kind of S&M sort of fantasy?
and i guess we are both in that audience ,i mean we both like to see skin.,contingency,because,mid,and i guess we are both in that audience because i mean we both like to see skin.,"I bet it is. I mean it is made to order, supposedly, but the point is when people dress like that they ask for a certain audience."
"there were many choices, ",i really liked rihanna's outfit.,comparison,but,mid,"there were many choices, but i really liked rihanna's outfit. it flowed with the theme. and those shoes! wow!",Who was the best dressed at the Met Gala this year?
"oh my, that was gorgeous!","i did not particularly like her sleeves, they hung too loosely and it made her arm a bit flabby.",comparison,although,begin,"oh my, that was gorgeous! although i did not particularly like her sleeves, they hung too loosely and it made her arm a bit flabby.",She wore a plunging gold gown heavily embellished with fringe-style beading and blue feathers that cascaded down the train.
"she did look good, ",her chest is too big.,comparison,but,mid,"she did look good, but her chest is too big. it looked like it was popping out of the dress.",Amber Rose looked hot in the red dress. That color looked awesome on her.
"i didn't think i would like all the white on him, ","you're right, it did look nice!",comparison,but,mid,"i didn't think i would like all the white on him, but you're right, it did look nice!",Zac Efron looked very handsome. His outfit reminded me of a 50s type style.
"that's how you see it,",what you'd call casual is well worth $6000,comparison,but,mid,"that's how you see it,but what you'd call casual is well worth $6000",i felt its a terrible way to dress for an event like the oscar.
"oh no way,do you think will smith will rock a sleeve,black pant,a paul smith shoe ","hermes belt for a piety $2000,it should be way more than that.",expansion,and,mid,"oh no way,do you think will smith will rock a sleeve,black pant,a paul smith shoe and hermes belt for a piety $2000,it should be way more than that.","nah it can be that expensive,i would say $2000"
"yeah i love that purse jenny had, would have been a good choice ",then i reckon it would be  too expensive.,comparison,but,mid,"yeah i love that purse jenny had, would have been a good choice but then i reckon it would be  too expensive.",why don't you check out the CHANNEL  purse Jenifer Lawrence had on for the Oscars i think it was lovely
"haha, i've got to see that!","still, i bet you wore them better than jenna did.",comparison,but,begin,"haha, i've got to see that! but still, i bet you wore them better than jenna did.","I did, my mom even has a picture of me wearing them.. ugh."
"i wish i had more of a back end, i don't look good in most jeans ",i need to tone up.,contingency,because,mid,"better than no tush! i wish i had more of a back end, i don't look good in most jeans because i need to tone up.","Yeah, my diaper really filled out the tush! Haha."
"no way, i have style, ",i could never make it as a designer.,comparison,but,mid,"no way, i have style, but i could never make it as a designer.","I don't know, she might be grateful. Who knows, maybe this is the begining of a career in fashon!"
not at all ,your confidence is the think that rocks through,comparison,but,mid,not at all but your confidence is the think that rocks through,"Thanks, am I able to pull off a tight look?"
"that is true, ",where did you get your shoes?,comparison,but,mid,"that is true, but where did you get your shoes?",Pretty much. I only really wear what people would like to see me in. In that way I am a push-over
